schemaVersion	1
publicRoot	package	deliveryGroup	status	authority
Actor	Pop.Standard	concurrencyNetwork	planned	architecture/22.2-system-network-security-catalog.md
Atomic	Pop.Standard	concurrencyNetwork	planned	architecture/22.2-system-network-security-catalog.md
Bytes	Pop.Standard	core	implemented	architecture/22.1-core-and-portable-library-catalog.md
Channel	Pop.Standard	concurrencyNetwork	planned	architecture/22.2-system-network-security-catalog.md
Codec	Pop.Standard	formats	partial	architecture/22.1-core-and-portable-library-catalog.md
Crypto	Pop.Standard	concurrencyNetwork	planned	architecture/22.2-system-network-security-catalog.md
Csv	Pop.Standard	formats	planned	architecture/22.1-core-and-portable-library-catalog.md
Directory	Pop.Standard	host	planned	architecture/22.2-system-network-security-catalog.md
Environment	Pop.Standard	host	planned	architecture/22.2-system-network-security-catalog.md
File	Pop.Standard	host	planned	architecture/22.2-system-network-security-catalog.md
Glob	Pop.Standard	formats	planned	architecture/22.1-core-and-portable-library-catalog.md
Guid	Pop.Standard	core	planned	architecture/22.1-core-and-portable-library-catalog.md
Http	Pop.Http	networkProtocol	planned	architecture/22.2-system-network-security-catalog.md
Io	Pop.Standard	host	planned	architecture/22.2-system-network-security-catalog.md
Json	Pop.Standard	formats	planned	architecture/22.1-core-and-portable-library-catalog.md
Locale	Pop.Standard	formats	planned	architecture/22.1-core-and-portable-library-catalog.md
Math	Pop.Standard	core	partial	architecture/22.1-core-and-portable-library-catalog.md
Memory	Pop.Standard	host	planned	architecture/22.2-system-network-security-catalog.md
Metadata	Pop.Standard	formats	partial	architecture/22.3-data-observability-tooling-catalog.md
Mime	Pop.Standard	core	partial	architecture/22.1-core-and-portable-library-catalog.md
Net	Pop.Standard	concurrencyNetwork	planned	architecture/22.2-system-network-security-catalog.md
Path	Pop.Standard	host	planned	architecture/22.2-system-network-security-catalog.md
Platform	Pop.Standard	host	planned	architecture/22.2-system-network-security-catalog.md
Process	Pop.Standard	host	planned	architecture/22.2-system-network-security-catalog.md
Random	Pop.Standard	core	partial	architecture/22.1-core-and-portable-library-catalog.md
Regex	Pop.Standard	formats	planned	architecture/22.1-core-and-portable-library-catalog.md
Resource	Pop.Standard	formats	planned	architecture/22.1-core-and-portable-library-catalog.md
Sequence	Pop.Standard	core	partial	architecture/22.1-core-and-portable-library-catalog.md
Socket	Pop.Standard	concurrencyNetwork	planned	architecture/22.2-system-network-security-catalog.md
Task	Pop.Standard	concurrencyNetwork	partial	architecture/22.2-system-network-security-catalog.md
Telemetry	Pop.Standard	operations	planned	architecture/22.3-data-observability-tooling-catalog.md
Terminal	Pop.Standard	host	planned	architecture/22.2-system-network-security-catalog.md
Text	Pop.Standard	core	partial	architecture/22.1-core-and-portable-library-catalog.md
Time	Pop.Standard	formats	planned	architecture/22.1-core-and-portable-library-catalog.md
Toml	Pop.Standard	formats	planned	architecture/22.1-core-and-portable-library-catalog.md
Unicode	Pop.Standard	core	partial	architecture/22.1-core-and-portable-library-catalog.md
Uri	Pop.Standard	core	planned	architecture/22.1-core-and-portable-library-catalog.md
Version	Pop.Standard	core	partial	architecture/22.1-core-and-portable-library-catalog.md
WebSocket	Pop.Http	networkProtocol	planned	architecture/22.2-system-network-security-catalog.md
Xml	Pop.Standard	formats	planned	architecture/22.1-core-and-portable-library-catalog.md
Yaml	Pop.Standard	formats	planned	architecture/22.1-core-and-portable-library-catalog.md
