schemaVersion	1
publicRoot	tier	catalog	status
Actor	standard/platform	system/network/security	planned
Ai	official	application/media/science	bootstrap
Archive	official	core/portable	planned
Atomic	standard/platform	system/network/security	planned
Audio	official/platform	application/media/science	planned
Benchmark	tooling	data/observability/tooling	planned
Bytes	standard	core/portable	prototype
Channel	standard	system/network/security	planned
Cli	official/tooling	data/observability/tooling	bootstrap
Cluster	official/platform	system/network/security	planned
Codec	standard/official	core/portable	planned
Command	official/tooling	data/observability/tooling	bootstrap
Compress	official	core/portable	planned
Crypto	standard/platform	system/network/security	planned
Csv	standard	core/portable	planned
Data	official	data/observability/tooling	bootstrap
Device	platform/official	system/network/security	planned
Diagnostic	tooling	data/observability/tooling	planned
Directory	standard/platform	system/network/security	planned
Documentation	tooling	data/observability/tooling	planned
Email	official	application/media/science	planned
Environment	standard/platform	system/network/security	planned
Ffi	unsafe	application/media/science	planned
File	standard/platform	system/network/security	planned
Geometry	official	application/media/science	planned
Glob	standard	core/portable	planned
Graphics	official/platform	application/media/science	planned
Guid	standard	core/portable	planned
Http	official	system/network/security	planned
Identity	official/platform	system/network/security	planned
Image	official/platform	application/media/science	planned
Io	standard	system/network/security	planned
Json	standard	core/portable	planned
Locale	standard/platform	core/portable	planned
Lsp	official/tooling	data/observability/tooling	bootstrap
Math	standard	core/portable	prototype
Media	official/platform	application/media/science	planned
Memory	standard/unsafe	system/network/security	planned
Message	official	application/media/science	planned
Metadata	standard/tooling	data/observability/tooling	planned
Mime	standard	core/portable	planned
Net	standard/platform	system/network/security	planned
Package	tooling	data/observability/tooling	planned
Path	standard	system/network/security	planned
Platform	standard/platform	system/network/security	planned
Process	standard/platform	system/network/security	planned
Random	standard	core/portable	planned
Regex	standard	core/portable	planned
Resource	standard/tooling	core/portable	planned
Rpc	official	application/media/science	bootstrap
Schedule	official/platform	system/network/security	planned
Science	official	application/media/science	planned
Sequence	standard	core/portable	prototype
Settings	official	data/observability/tooling	bootstrap
Signal	official	application/media/science	planned
Socket	standard/platform	system/network/security	planned
Source	official/tooling	data/observability/tooling	bootstrap
Sql	official	data/observability/tooling	bootstrap
Statistics	official	application/media/science	planned
Store	official/platform	data/observability/tooling	bootstrap
Syntax	official/tooling	data/observability/tooling	bootstrap
Task	standard/platform	system/network/security	planned
Telemetry	standard/official	data/observability/tooling	planned
Tensor	official/platform	application/media/science	planned
Terminal	standard/official	system/network/security	planned
Test	tooling	data/observability/tooling	planned
Text	standard	core/portable	prototype
Time	standard/platform	core/portable	planned
Toml	standard	core/portable	planned
Ui	official/platform	application/media/science	planned
Unicode	standard	core/portable	planned
Units	official	application/media/science	planned
Uri	standard	core/portable	planned
Version	standard	core/portable	planned
Video	official/platform	application/media/science	planned
WebSocket	official	system/network/security	planned
Xml	standard	core/portable	planned
Yaml	standard	core/portable	planned
